"x","Sin(x)","Cosx"
3.031636,0.109735,-0.993961
3.047344,0.094109,-0.995562
3.063052,0.078460,-0.996917
3.078760,0.062791,-0.998027
3.094468,0.047107,-0.998890
3.110176,0.031411,-0.999507
3.125884,0.015708,-0.999877
3.141592,0.000000,-1.000000
3.157300,-0.015707,-0.999877
3.173008,-0.031410,-0.999507
3.188716,-0.047106,-0.998890
3.204424,-0.062790,-0.998027
3.220132,-0.078459,-0.996917
3.235840,-0.094108,-0.995562
3.251548,-0.109734,-0.993961
3.267256,-0.125333,-0.992115
3.282964,-0.140901,-0.990024
3.298672,-0.156434,-0.987688
3.314380,-0.171929,-0.985109
3.330088,-0.187381,-0.982287
3.345796,-0.202787,-0.979223
3.361504,-0.218143,-0.975917
3.377212,-0.233445,-0.972370
3.392920,-0.248689,-0.968583
3.408628,-0.263873,-0.964558
3.424336,-0.278991,-0.960294
3.440044,-0.294040,-0.955793
3.455752,-0.309017,-0.951057
3.471459,-0.323917,-0.946085
3.487167,-0.338738,-0.940881
3.502875,-0.353474,-0.935444
3.518583,-0.368124,-0.929777
3.534291,-0.382683,-0.923880
3.549999,-0.397148,-0.917755
3.565707,-0.411514,-0.911403
3.581415,-0.425779,-0.904827
3.597123,-0.439939,-0.898028
3.612831,-0.453990,-0.891007
3.628539,-0.467929,-0.883766
3.644247,-0.481753,-0.876307
3.659955,-0.495458,-0.868632
3.675663,-0.509041,-0.860742
3.691371,-0.522498,-0.852640
3.707079,-0.535826,-0.844328
3.722787,-0.549022,-0.835808
3.738495,-0.562083,-0.827081
3.754203,-0.575005,-0.818150
3.769911,-0.587785,-0.809017
3.785619,-0.600420,-0.799685
3.801327,-0.612907,-0.790155
3.817035,-0.625242,-0.780431
3.832743,-0.637424,-0.770513
3.848451,-0.649448,-0.760406
3.864159,-0.661312,-0.750111
3.879867,-0.673012,-0.739631
3.895575,-0.684547,-0.728969
3.911282,-0.695913,-0.718127
3.926990,-0.707107,-0.707107
