"x", "f", "df", "d2f"
2.858847, 0.797599, -2.466020, -2.716408
2.890263, 0.718786, -2.550420, -2.654349
2.921679, 0.637351, -2.632799, -2.588165
2.953095, 0.553362, -2.713040, -2.517300
2.984510, 0.466888, -2.790963, -2.440421
3.015926, 0.378003, -2.866374, -2.359812
3.047342, 0.286788, -2.939235, -2.276423
3.078758, 0.193325, -3.009406, -2.188274
3.110174, 0.097701, -3.076728, -2.095312
3.141590, 0.000008, -3.141059, -1.998551
3.173006, -0.099658, -3.202301, -1.897990
3.204422, -0.201199, -3.260313, -1.793630
3.235838, -0.304510, -3.314999, -1.686576
3.267254, -0.409487, -3.366284, -1.574400
3.298669, -0.516017, -3.413920, -1.456922
3.330085, -0.623987, -3.457824, -1.338595
3.361501, -0.733279, -3.498026, -1.217875
3.392917, -0.843775, -3.534346, -1.092491
3.424333, -0.955349, -3.566670, -0.964067
3.455749, -1.067876, -3.594920, -0.833110
3.487165, -1.181225, -3.619016, -0.699873
3.518581, -1.295266, -3.638894, -0.563850
3.549997, -1.409864, -3.654444, -0.425716
3.581413, -1.524882, -3.665643, -0.284633
3.612828, -1.640180, -3.672327, -0.140416
3.644244, -1.755618, -3.674465, 0.004223
3.675660, -1.871054, -3.672062, 0.150208
3.707076, -1.986341, -3.665027, 0.298136
3.738492, -2.101335, -3.653330, 0.447584
3.769908, -2.215887, -3.636905, 0.598299
3.801324, -2.329849, -3.615737, 0.749773
3.832740, -2.443071, -3.589795, 0.902261
3.864156, -2.555403, -3.559046, 1.054616
3.895572, -2.666693, -3.523531, 1.207893
3.926987, -2.776790, -3.483153, 1.363171
3.958403, -2.885543, -3.437882, 1.517400
3.989819, -2.992799, -3.387812, 1.670272
4.021235, -3.098406, -3.332935, 1.823266
4.052651, -3.202214, -3.273252, 1.976007
4.084067, -3.304071, -3.208779, 2.127988
4.115483, -3.403828, -3.139547, 2.279209
4.146899, -3.501335, -3.065572, 2.429417
4.178315, -3.596444, -2.986902, 2.577370
4.209731, -3.689008, -2.903630, 2.724351
4.241146, -3.778882, -2.815728, 2.870690
4.272562, -3.865923, -2.723262, 3.013991
4.303978, -3.949990, -2.626353, 3.155127
4.335394, -4.030942, -2.525019, 3.294190
4.366810, -4.108642, -2.419372, 3.429959
4.398226, -4.182956, -2.309508, 3.563703
4.429642, -4.253753, -2.195458, 3.694913
4.461058, -4.320901, -2.077349, 3.822324
4.492474, -4.384277, -1.955293, 3.946485
4.523890, -4.443756, -1.829384, 4.067407
4.555305, -4.499219, -1.699734, 4.185329
4.586721, -4.550552, -1.566415, 4.299215
4.618137, -4.597640, -1.429606, 4.407957
4.649553, -4.640377, -1.289454, 4.513078
4.680969, -4.678659, -1.146040, 4.614398
4.712385, -4.712385, -0.999523, 4.710906
4.743801, -4.741461, -0.850045, 4.802602
4.775217, -4.765795, -0.697765, 4.889484
4.806633, -4.785303, -0.542828, 4.971963
4.838049, -4.799902, -0.385367, 5.049087
4.869464, -4.809516, -0.225589, 5.120421
4.900880, -4.814076, -0.063646, 5.186918
4.932296, -4.813515, 0.100315, 5.247906
4.963712, -4.807773, 0.266091, 5.303126
4.995128, -4.796796, 0.433521, 5.352773
5.026544, -4.780534, 0.602416, 5.396594
5.057960, -4.758945, 0.772600, 5.434590
5.089376, -4.731990, 0.943882, 5.466252
5.120792, -4.699639, 1.116056, 5.491909
5.152208, -4.661866, 1.288950, 5.511545
5.183623, -4.618653, 1.462351, 5.524526
5.215039, -4.569985, 1.636061, 5.530980
5.246455, -4.515856, 1.809874, 5.531351
5.277871, -4.456267, 1.983607, 5.525778
5.309287, -4.391222, 2.157070, 5.513366
5.340703, -4.320734, 2.330023, 5.494115
5.372119, -4.244822, 2.502276, 5.468532
5.403535, -4.163511, 2.673622, 5.436109
5.434951, -4.076833, 2.843838, 5.397864
5.466367, -3.984827, 3.012780, 5.352397
5.497782, -3.887537, 3.180134, 5.298648
5.529198, -3.785016, 3.345700, 5.240008
5.560614, -3.677320, 3.509374, 5.175462
5.592030, -3.564515, 3.670884, 5.103524
5.623446, -3.446671, 3.830039, 5.024747
5.654862, -3.323866, 3.986599, 4.939385
5.686278, -3.196185, 4.140390, 4.848196
5.717694, -3.063717, 4.291221, 4.750421
5.749110, -2.926559, 4.438869, 4.646969
5.780526, -2.784814, 4.583199, 4.536384
5.811941, -2.638592, 4.723894, 4.417506
5.843357, -2.488007, 4.860756, 4.294548
5.874773, -2.333181, 4.993729, 4.166814
5.906189, -2.174241, 5.122565, 4.031804
5.937605, -2.011320, 5.247056, 3.890969
5.969021, -1.844558, 5.367042, 3.744813
6.000437, -1.674098, 5.482350, 3.593086
6.031853, -1.500091, 5.592803, 3.435532
6.063269, -1.322691, 5.698211, 3.273874
6.094685, -1.142061, 5.798507, 3.106515
6.126100, -0.958365, 5.893397, 2.931053
6.157516, -0.771773, 5.982668, 2.752657
6.188932, -0.582462, 6.066352, 2.571773
6.220348, -0.390612, 6.144258, 2.385596
6.251764, -0.196406, 6.216243, 1.694589
6.283180, -0.000033, 6.250732, 1.097810
