"x","Sin(x)","Cos(x)"
1.155721, 0.915086 , 0.403259
1.166228, 0.919272 , 0.393622
1.176734, 0.923357 , 0.383942
1.187241, 0.927340 , 0.374220
1.197747, 0.931220 , 0.364456
1.208254, 0.934998 , 0.354652
1.218761, 0.938673 , 0.344809
1.229267, 0.942244 , 0.334928
1.239774, 0.945710 , 0.325010
1.250280, 0.949073 , 0.315056
1.260787, 0.952331 , 0.305068
1.271293, 0.955483 , 0.295045
1.281800, 0.958530 , 0.284990
1.292306, 0.961472 , 0.274904
1.302813, 0.964307 , 0.264787
1.313320, 0.967036 , 0.254641
1.323826, 0.969658 , 0.244467
1.334333, 0.972173 , 0.234266
1.344839, 0.974580 , 0.224039
1.355346, 0.976880 , 0.213788
1.365852, 0.979072 , 0.203512
1.376359, 0.981157 , 0.193215
1.386865, 0.983132 , 0.182896
1.397372, 0.985000 , 0.172556
1.407879, 0.986758 , 0.162198
1.418385, 0.988408 , 0.151822
1.428892, 0.989948 , 0.141429
1.439398, 0.991380 , 0.131020
1.449905, 0.992702 , 0.120597
1.460411, 0.993914 , 0.110161
1.470918, 0.995016 , 0.099712
1.481424, 0.996009 , 0.089253
1.491931, 0.996892 , 0.078784
1.502438, 0.997664 , 0.068305
1.512944, 0.998327 , 0.057820
1.523451, 0.998879 , 0.047328
1.533957, 0.999322 , 0.036831
1.544464, 0.999653 , 0.026329
1.554970, 0.999875 , 0.015825
1.565477, 0.999986 , 0.005319
1.575983, 0.999987 , -0.005187
1.586490, 0.999877 , -0.015693
1.596997, 0.999657 , -0.026197
1.607503, 0.999326 , -0.036699
1.618010, 0.998886 , -0.047196
1.628516, 0.998335 , -0.057688
1.639023, 0.997673 , -0.068174
1.649529, 0.996902 , -0.078652
1.660036, 0.996021 , -0.089121
1.670543, 0.995029 , -0.099581
1.681049, 0.993928 , -0.110030
1.691556, 0.992717 , -0.120466
1.702062, 0.991397 , -0.130889
1.712569, 0.989967 , -0.141298
1.723075, 0.988428 , -0.151691
1.733582, 0.986780 , -0.162068
1.744088, 0.985022 , -0.172426
1.754595, 0.983157 , -0.182766
1.765102, 0.981182 , -0.193085
1.775608, 0.979099 , -0.203383
1.786115, 0.976908 , -0.213658
1.796621, 0.974610 , -0.223910
1.807128, 0.972203 , -0.234138
1.817634, 0.969690 , -0.244339
1.828141, 0.967069 , -0.254513
1.838647, 0.964342 , -0.264660
1.849154, 0.961508 , -0.274777
1.859661, 0.958568 , -0.284864
1.870167, 0.955522 , -0.294919
1.880674, 0.952371 , -0.304942
1.891180, 0.949115 , -0.314931
1.901687, 0.945753 , -0.324885
1.912193, 0.942288 , -0.334804
1.922700, 0.938718 , -0.344685
1.933206, 0.935045 , -0.354529
1.943713, 0.931269 , -0.364333
1.954220, 0.927389 , -0.374097
1.964726, 0.923408 , -0.383820
1.975233, 0.919324 , -0.393501
1.985739, 0.915139 , -0.403138
1.996246, 0.910853 , -0.412730
2.006752, 0.906467 , -0.422277
2.017259, 0.901980 , -0.431778
2.027765, 0.897394 , -0.441230
2.038272, 0.892709 , -0.450634
2.048779, 0.887925 , -0.459988
2.059285, 0.883043 , -0.469292
2.069792, 0.878064 , -0.478544
2.080298, 0.872988 , -0.487742
2.090805, 0.867815 , -0.496887
2.101311, 0.862547 , -0.505978
2.111818, 0.857183 , -0.515012
2.122324, 0.851725 , -0.523989
2.132831, 0.846173 , -0.532909
2.143338, 0.840527 , -0.541770
2.153844, 0.834789 , -0.550571
2.164351, 0.828958 , -0.559311
2.174857, 0.823036 , -0.567989
2.185364, 0.817023 , -0.576605
2.195870, 0.810920 , -0.585157
2.206377, 0.804727 , -0.593645
2.216883, 0.798446 , -0.602067
2.227390, 0.792076 , -0.610422
2.237897, 0.785619 , -0.618710
2.248403, 0.779075 , -0.626930
2.258910, 0.772446 , -0.635081
2.269416, 0.765731 , -0.643162
2.279923, 0.758931 , -0.651171
2.290429, 0.752048 , -0.659109
2.300936, 0.745081 , -0.666974
2.311442, 0.738033 , -0.674765
2.321949, 0.730903 , -0.682482
2.332456, 0.723692 , -0.690123
2.342962, 0.716401 , -0.697688
2.353469, 0.709032 , -0.705177
2.363975, 0.701584 , -0.712587
2.374482, 0.694058 , -0.719919
2.384988, 0.686456 , -0.727171
2.395495, 0.678778 , -0.734343
2.406001, 0.671026 , -0.741434
2.416508, 0.663199 , -0.748443
2.427015, 0.655299 , -0.755370
2.437521, 0.647326 , -0.762213
2.448028, 0.639283 , -0.768972
2.458534, 0.631168 , -0.775646
2.469041, 0.622984 , -0.782234
2.479547, 0.614731 , -0.788737
2.490054, 0.606411 , -0.795152
2.500560, 0.598023 , -0.801479
2.511067, 0.589569 , -0.807718
2.521574, 0.581051 , -0.813867
2.532080, 0.572468 , -0.819927
2.542587, 0.563822 , -0.825896
2.553093, 0.555113 , -0.831775
2.563600, 0.546344 , -0.837561
2.574106, 0.537514 , -0.843255
2.584613, 0.528625 , -0.848856
2.595119, 0.519677 , -0.854363
2.605626, 0.510672 , -0.859775
2.616133, 0.501611 , -0.865093
2.626639, 0.492494 , -0.870316
2.637146, 0.483323 , -0.875442
2.647652, 0.474099 , -0.880472
2.658159, 0.464822 , -0.885404
2.668665, 0.455494 , -0.890239
2.679172, 0.446116 , -0.894975
2.689679, 0.436688 , -0.899613
2.700185, 0.427213 , -0.904151
2.710692, 0.417690 , -0.908590
2.721198, 0.408121 , -0.912928
2.731705, 0.398507 , -0.917165
2.742211, 0.388848 , -0.921302
2.752718, 0.379147 , -0.925336
2.763224, 0.369405 , -0.929269
2.773731, 0.359621 , -0.933098
2.784238, 0.349798 , -0.936825
2.794744, 0.339936 , -0.940449
2.805251, 0.330036 , -0.943968
2.815757, 0.320100 , -0.947384
2.826264, 0.310129 , -0.950694
2.836770, 0.300124 , -0.953900
2.847277, 0.290085 , -0.957001
2.857783, 0.280015 , -0.959996
2.868290, 0.269913 , -0.962885
2.878797, 0.259782 , -0.965667
2.889303, 0.249622 , -0.968343
2.899810, 0.239434 , -0.970913
2.910316, 0.229220 , -0.973375
2.920823, 0.218981 , -0.975729
2.931329, 0.208717 , -0.977976
2.941836, 0.198431 , -0.980115
2.952342, 0.188123 , -0.982146
2.962849, 0.177793 , -0.984068
2.973356, 0.167445 , -0.985881
2.983862, 0.157077 , -0.987586
2.994369, 0.146693 , -0.989182
3.004875, 0.136292 , -0.990669
3.015382, 0.125876 , -0.992046
3.025888, 0.115446 , -0.993314
3.036395, 0.105004 , -0.994472
3.046901, 0.094550 , -0.995520
3.057408, 0.084085 , -0.996459
3.067915, 0.073611 , -0.997287
3.078421, 0.063130 , -0.998005
3.088928, 0.052641 , -0.998614
3.099434, 0.042146 , -0.999111
3.109941, 0.031647 , -0.999499
3.120447, 0.021144 , -0.999776
3.130954, 0.010639 , -0.999943
3.141460, 0.000132 , -1.000000
3.151967, -0.010374 , -0.999946
3.162474, -0.020879 , -0.999782
3.172980, -0.031382 , -0.999507
3.183487, -0.041882 , -0.999123
3.193993, -0.052377 , -0.998627
3.204500, -0.062866 , -0.998022
3.215006, -0.073348 , -0.997306
3.225513, -0.083822 , -0.996481
3.236019, -0.094287 , -0.995545
3.246526, -0.104741 , -0.994500
3.257033, -0.115184 , -0.993344
3.267539, -0.125614 , -0.992079
3.278046, -0.136030 , -0.990705
3.288552, -0.146431 , -0.989221
3.299059, -0.156816 , -0.987628
3.309565, -0.167184 , -0.985926
3.320072, -0.177533 , -0.984115
3.330578, -0.187863 , -0.982195
3.341085, -0.198172 , -0.980167
3.351592, -0.208459 , -0.978031
3.362098, -0.218723 , -0.975787
3.372605, -0.228963 , -0.973435
3.383111, -0.239177 , -0.970976
3.393618, -0.249366 , -0.968409
3.404124, -0.259526 , -0.965736
3.414631, -0.269658 , -0.962956
3.425137, -0.279761 , -0.960070
3.435644, -0.289832 , -0.957078
3.446151, -0.299871 , -0.953980
3.456657, -0.309878 , -0.950776
3.467164, -0.319850 , -0.947468
3.477670, -0.329787 , -0.944055
3.488177, -0.339687 , -0.940539
3.498683, -0.349550 , -0.936918
3.509190, -0.359374 , -0.933194
3.519696, -0.369159 , -0.929366
3.530203, -0.378903 , -0.925436
3.540710, -0.388605 , -0.921405
3.551216, -0.398264 , -0.917271
3.561723, -0.407879 , -0.913036
3.572229, -0.417449 , -0.908700
3.582736, -0.426973 , -0.904264
3.593242, -0.436450 , -0.899728
3.603749, -0.445879 , -0.895093
3.614255, -0.455259 , -0.890359
3.624762, -0.464588 , -0.885527
3.635269, -0.473866 , -0.880597
3.645775, -0.483092 , -0.875570
3.656282, -0.492264 , -0.870446
3.666788, -0.501382 , -0.865226
3.677295, -0.510445 , -0.859910
3.687801, -0.519451 , -0.854500
3.698308, -0.528400 , -0.848995
3.708815, -0.537291 , -0.843397
3.719321, -0.546122 , -0.837705
3.729828, -0.554894 , -0.831921
3.740334, -0.563603 , -0.826046
3.750841, -0.572251 , -0.820079
3.761347, -0.580835 , -0.814021
3.771854, -0.589356 , -0.807874
3.782360, -0.597811 , -0.801637
3.792867, -0.606200 , -0.795312
3.803374, -0.614523 , -0.788899
3.813880, -0.622777 , -0.782399
3.824387, -0.630963 , -0.775813
3.834893, -0.639079 , -0.769141
3.845400, -0.647125 , -0.762384
3.855906, -0.655099 , -0.755543
3.866413, -0.663001 , -0.748619
3.876919, -0.670830 , -0.741612
3.887426, -0.678584 , -0.734523
3.897933, -0.686264 , -0.727353
3.908439, -0.693868 , -0.720102
3.918946, -0.701395 , -0.712773
3.929452, -0.708845 , -0.705364
3.939959, -0.716217 , -0.697878
3.950465, -0.723509 , -0.690315
3.960972, -0.730722 , -0.682675
3.971478, -0.737854 , -0.674960
3.981985, -0.744905 , -0.667171
3.992492, -0.751873 , -0.659308
4.002998, -0.758759 , -0.651372
4.013505, -0.765560 , -0.643364
4.024011, -0.772278 , -0.635285
4.034518, -0.778910 , -0.627136
4.045024, -0.785455 , -0.618918
4.055531, -0.791915 , -0.610632
4.066037, -0.798286 , -0.602278
4.076544, -0.804570 , -0.593858
4.087051, -0.810765 , -0.585372
4.097557, -0.816870 , -0.576821
4.108064, -0.822886 , -0.568207
4.118570, -0.828810 , -0.559530
4.129077, -0.834643 , -0.550791
4.139583, -0.840384 , -0.541992
4.150090, -0.846032 , -0.533133
4.160596, -0.851586 , -0.524215
4.171103, -0.857047 , -0.515239
4.181610, -0.862413 , -0.506206
4.192116, -0.867684 , -0.497117
4.202623, -0.872859 , -0.487973
4.213129, -0.877937 , -0.478776
4.223636, -0.882919 , -0.469525
4.234142, -0.887803 , -0.460223
4.244649, -0.892589 , -0.450870
4.255155, -0.897277 , -0.441468
4.265662, -0.901866 , -0.432016
4.276169, -0.906355 , -0.422517
4.286675, -0.910744 , -0.412971
4.297182, -0.915033 , -0.403380
4.307688, -0.919220 , -0.393744
4.318195, -0.923306 , -0.384064
4.328701, -0.927291 , -0.374343
4.339208, -0.931172 , -0.364579
4.349714, -0.934951 , -0.354776
4.360221, -0.938627 , -0.344934
4.370728, -0.942199 , -0.335053
4.381234, -0.945667 , -0.325135
4.391741, -0.949031 , -0.315182
4.402247, -0.952290 , -0.305194
4.412754, -0.955444 , -0.295172
4.423260, -0.958493 , -0.285117
4.433767, -0.961435 , -0.275031
4.444273, -0.964272 , -0.264915
4.454780, -0.967002 , -0.254769
4.465287, -0.969625 , -0.244595
4.475793, -0.972142 , -0.234395
4.486300, -0.974551 , -0.224168
4.496806, -0.976852 , -0.213917
4.507313, -0.979045 , -0.203642
4.517819, -0.981131 , -0.193344
4.528326, -0.983108 , -0.183025
4.538832, -0.984977 , -0.172687
4.549339, -0.986737 , -0.162328
4.559846, -0.988388 , -0.151952
4.570352, -0.989930 , -0.141560
4.580859, -0.991362 , -0.131151
4.591365, -0.992686 , -0.120728
4.601872, -0.993899 , -0.110292
4.612378, -0.995003 , -0.099844
4.622885, -0.995997 , -0.089385
4.633391, -0.996881 , -0.078915
4.643898, -0.997655 , -0.068437
4.654405, -0.998319 , -0.057952
4.664911, -0.998873 , -0.047460
4.675418, -0.999317 , -0.036963
4.685924, -0.999650 , -0.026462
4.696431, -0.999873 , -0.015957
4.706937, -0.999985 , -0.005452
4.717444, -0.999987 , 0.005055
4.727951, -0.999879 , 0.015561
4.738457, -0.999660 , 0.026065
4.748964, -0.999331 , 0.036566
4.759470, -0.998892 , 0.047064
4.769977, -0.998342 , 0.057556
4.780483, -0.997682 , 0.068042
4.790990, -0.996913 , 0.078520
4.801496, -0.996033 , 0.088990
4.812003, -0.995043 , 0.099449
4.822510, -0.993943 , 0.109898
4.833016, -0.992733 , 0.120335
4.843523, -0.991414 , 0.130758
4.854029, -0.989986 , 0.141167
4.864536, -0.988448 , 0.151560
4.875042, -0.986801 , 0.161937
4.885549, -0.985045 , 0.172296
4.896055, -0.983181 , 0.182636
4.906562, -0.981208 , 0.192955
4.917069, -0.979126 , 0.203253
4.927575, -0.976937 , 0.213529
4.938082, -0.974639 , 0.223782
4.948588, -0.972234 , 0.234009
4.959095, -0.969722 , 0.244211
4.969601, -0.967103 , 0.254386
4.980108, -0.964377 , 0.264532
4.990614, -0.961544 , 0.274650
5.001121, -0.958606 , 0.284737
5.011628, -0.955561 , 0.294793
5.022134, -0.952411 , 0.304816
5.032641, -0.949156 , 0.314805
5.043147, -0.945796 , 0.324760
5.053654, -0.942332 , 0.334679
5.064160, -0.938764 , 0.344561
5.074667, -0.935092 , 0.354405
5.085173, -0.931317 , 0.364210
5.095680, -0.927439 , 0.373975
5.106187, -0.923459 , 0.383698
5.116693, -0.919376 , 0.393379
5.127200, -0.915193 , 0.403017
5.137706, -0.910908 , 0.412610
5.148213, -0.906523 , 0.422157
5.158719, -0.902037 , 0.431658
5.169226, -0.897452 , 0.441112
5.179732, -0.892768 , 0.450516
5.190239, -0.887986 , 0.459871
5.200746, -0.883105 , 0.469175
5.211252, -0.878127 , 0.478428
5.221759, -0.873052 , 0.487627
5.232265, -0.867881 , 0.496773
5.242772, -0.862613 , 0.505864
5.253278, -0.857251 , 0.514899
5.263785, -0.851794 , 0.523877
5.274291, -0.846243 , 0.532797
5.284798, -0.840599 , 0.541659
5.295305, -0.834861 , 0.550460
5.305811, -0.829032 , 0.559201
5.316318, -0.823111 , 0.567881
5.326824, -0.817099 , 0.576497
5.337331, -0.810997 , 0.585050
5.347837, -0.804806 , 0.593538
5.358344, -0.798525 , 0.601961
5.368850, -0.792157 , 0.610318
5.379357, -0.785701 , 0.618607
5.389864, -0.779158 , 0.626827
5.400370, -0.772530 , 0.634979
5.410877, -0.765816 , 0.643060
5.421383, -0.759017 , 0.651071
5.431890, -0.752135 , 0.659009
5.442396, -0.745169 , 0.666875
5.452903, -0.738122 , 0.674667
5.463409, -0.730993 , 0.682385
5.473916, -0.723783 , 0.690027
5.484423, -0.716494 , 0.697594
5.494929, -0.709125 , 0.705083
5.505436, -0.701678 , 0.712494
5.515942, -0.694153 , 0.719827
5.526449, -0.686552 , 0.727080
5.536955, -0.678875 , 0.734253
5.547462, -0.671124 , 0.741345
5.557968, -0.663298 , 0.748356
5.568475, -0.655399 , 0.755283
5.578982, -0.647427 , 0.762127
5.589488, -0.639384 , 0.768887
5.599995, -0.631271 , 0.775563
5.610501, -0.623088 , 0.782152
5.621008, -0.614836 , 0.788655
5.631514, -0.606516 , 0.795071
5.642021, -0.598129 , 0.801400
5.652527, -0.589676 , 0.807640
5.663034, -0.581158 , 0.813791
5.673541, -0.572576 , 0.819852
5.684047, -0.563931 , 0.825822
5.694554, -0.555223 , 0.831701
5.705060, -0.546455 , 0.837489
5.715567, -0.537626 , 0.843184
5.726073, -0.528737 , 0.848786
5.736580, -0.519790 , 0.854294
5.747086, -0.510786 , 0.859708
5.757593, -0.501725 , 0.865027
5.768100, -0.492609 , 0.870251
5.778606, -0.483439 , 0.875378
5.789113, -0.474215 , 0.880409
5.799619, -0.464939 , 0.885343
5.810126, -0.455612 , 0.890179
5.820632, -0.446234 , 0.894916
5.831139, -0.436807 , 0.899555
5.841646, -0.427332 , 0.904095
5.852152, -0.417810 , 0.908535
5.862659, -0.408241 , 0.912874
5.873165, -0.398628 , 0.917113
5.883672, -0.388970 , 0.921250
5.894178, -0.379270 , 0.925286
5.904685, -0.369527 , 0.929220
5.915191, -0.359744 , 0.933051
5.925698, -0.349922 , 0.936779
5.936205, -0.340060 , 0.940404
5.946711, -0.330161 , 0.943925
5.957218, -0.320226 , 0.947341
5.967724, -0.310255 , 0.950653
5.978231, -0.300250 , 0.953861
5.988737, -0.290212 , 0.956962
5.999244, -0.280141 , 0.959959
6.009750, -0.270040 , 0.962849
6.020257, -0.259909 , 0.965633
6.030764, -0.249750 , 0.968310
6.041270, -0.239563 , 0.970881
6.051777, -0.229349 , 0.973344
6.062283, -0.219110 , 0.975700
6.072790, -0.208847 , 0.977948
6.083296, -0.198561 , 0.980089
6.093803, -0.188252 , 0.982121
6.104309, -0.177924 , 0.984044
6.114816, -0.167575 , 0.985859
6.125323, -0.157208 , 0.987566
6.135829, -0.146824 , 0.989163
6.146336, -0.136423 , 0.990651
6.156842, -0.126007 , 0.992029
6.167349, -0.115578 , 0.993298
6.177855, -0.105135 , 0.994458
6.188362, -0.094681 , 0.995508
6.198868, -0.084217 , 0.996447
6.209375, -0.073743 , 0.997277
6.219882, -0.063261 , 0.997997
6.230388, -0.052773 , 0.998607
6.240895, -0.042278 , 0.999106
6.251401, -0.031779 , 0.999495
6.261908, -0.021276 , 0.999774
6.272414, -0.010771 , 0.999942
6.282921, -0.000264 , 1.000000
6.293427, 0.010242 , 0.999948
6.303934, 0.020747 , 0.999785
