x,X + Sin(x)
73.8,72.800376
73.9,72.902632
74,73.014854
74.1,73.136918
74.2,73.268606
74.3,73.4096
74.4,73.55949
74.5,73.717778
74.6,73.883883
74.7,74.057142
74.8,74.236824
74.9,74.422134
75,74.612218
75.1,74.806177
75.2,75.003072
75.3,75.201934
75.4,75.401776
75.5,75.601601
75.6,75.80041
75.7,75.997217
75.8,76.191054
75.9,76.380984
76,76.566108
76.1,76.745575
76.2,76.918593
76.3,77.08443
76.4,77.242429
76.5,77.392012
76.6,77.532681
76.7,77.664032
76.8,77.78575
76.9,77.897619
77,77.99952
77.1,78.091434
77.2,78.173443
77.3,78.245724
77.4,78.308557
77.5,78.362311
77.6,78.40745
77.7,78.444521
77.8,78.474152
77.9,78.497048
78,78.513978
78.1,78.525773
78.2,78.533314
78.3,78.537524
78.4,78.539361
78.5,78.539806
78.6,78.539853
78.7,78.5405
78.8,78.542742
78.9,78.547554
79,78.555887
79.1,78.568658
79.2,78.586738
79.3,78.610945
79.4,78.642038
79.5,78.680703
79.6,78.727555
79.7,78.783124
79.8,78.847854
79.9,78.922097
80,79.006111
80.1,79.100056
80.2,79.203992
80.3,79.31788
80.4,79.441581
80.5,79.574858
80.6,79.717379
80.7,79.868719
80.8,80.028364
80.9,80.19572
81,80.370112
81.1,80.550798
81.2,80.736972
81.3,80.927771
81.4,81.122291
81.5,81.319584
81.6,81.518681
81.7,81.71859
81.8,81.918313
81.9,82.116854
82,82.313229
82.1,82.506474
82.2,82.695657
82.3,82.879888
82.4,83.058325
82.5,83.230184
82.6,83.394747
82.7,83.55137
82.8,83.699486
82.9,83.838614
83,83.968364
83.1,84.088439
83.2,84.198638
83.3,84.298858
83.4,84.389098
83.5,84.469456
83.6,84.540127
83.7,84.601404
83.8,84.653675
83.9,84.697416
84,84.73319
84.1,84.761638
84.2,84.783476
84.3,84.799483
84.4,84.810499
84.5,84.817414
84.6,84.821158
84.7,84.822692
84.8,84.823
84.9,84.823078
85,84.823924
85.1,84.82653
85.2,84.831869
85.3,84.840885
85.4,84.854489
85.5,84.873544
85.6,84.898858
85.7,84.931177
85.8,84.971178
85.9,85.019461
86,85.076542
86.1,85.142849
86.2,85.21872
86.3,85.304396
86.4,85.400019
86.5,85.505634
86.6,85.621184
86.7,85.746515
86.8,85.881372
86.9,86.025408
87,86.178182
87.1,86.339168
87.2,86.507756
87.3,86.68326
87.4,86.864927
87.5,87.05194
87.6,87.24343
87.7,87.438482
87.8,87.636148
87.9,87.835451
88,88.035398
88.1,88.234992
88.2,88.433238
88.3,88.629152
88.4,88.821778
88.5,89.01019
88.6,89.193504
88.7,89.370888
88.8,89.541569
88.9,89.70484
89,89.860069
89.1,90.006705
89.2,90.144282
89.3,90.272423
89.4,90.390849
89.5,90.499374
89.6,90.597914
89.7,90.686482
89.8,90.765195
89.9,90.834263
90,90.893997
90.1,90.944798
90.2,90.987158
90.3,91.021653
90.4,91.048937
90.5,91.069738
90.6,91.084846
90.7,91.095109
90.8,91.101425
90.9,91.104729
91,91.105988
91.1,91.106187
91.2,91.106324
91.3,91.107398
91.4,91.110396
91.5,91.116288
91.6,91.126013
91.7,91.140475
91.8,91.160527
91.9,91.186968
92,91.220534
92.1,91.261888
92.2,91.311616
92.3,91.370221
92.4,91.438115
92.5,91.515621
92.6,91.602962
92.7,91.700265
92.8,91.807557
92.9,91.924765
93,92.051718
93.1,92.188145
93.2,92.333684
93.3,92.487878
93.4,92.650187
93.5,92.819988
93.6,92.996583
93.7,93.179207
93.8,93.367035
93.9,93.559189
94,93.754748
94.1,93.952758
94.2,94.152239
94.3,94.352197
94.4,94.551633
94.5,94.749555
94.6,94.944983
94.7,95.136964
94.8,95.324579
94.9,95.506953
95,95.683262
95.1,95.852744
95.2,96.014705
95.3,96.168526
95.4,96.313669
95.5,96.449682
95.6,96.576207
95.7,96.692978
95.8,96.799827
95.9,96.896687
96,96.983588
96.1,97.060661
96.2,97.128135
96.3,97.186336
96.4,97.235681
96.5,97.276676
96.6,97.309911
96.7,97.336053
96.8,97.355839
96.9,97.370072
97,97.379608
97.1,97.385351
97.2,97.388242
97.3,97.389253
97.4,97.389372
97.5,97.389598
97.6,97.390926
97.7,97.394344
97.8,97.400815
97.9,97.411275
98,97.426618
98.1,97.44769
98.2,97.47528
98.3,97.510111
98.4,97.552834
98.5,97.604022
98.6,97.664163
98.7,97.733653
98.8,97.8128
98.9,97.90181
99,98.000793
99.1,98.10976
99.2,98.228622
99.3,98.357189
99.4,98.495177
99.5,98.642205
99.6,98.797804
99.7,98.961418
99.8,99.132412
99.9,99.310076
100,99.493634
